_id,top25type,payer_type,brand_generic,rank,national_drug_code,drug_name,numberofprescriptions,numberofindividuals,totalcost,costperprescription,outofpocketmedian
127,Frequency,Commercial,Generic,2,59267100002,Pfizer-BioNTech COVID-19 Vacc,1624279,1068762,58175777.28,35.82,0.00
128,Frequency,Commercial,Generic,3,80777027399,Moderna COVID-19 Vaccine,1120409,720489,37830749.84,33.77,0.00
129,Frequency,Commercial,Generic,4,80777027398,Moderna COVID-19 Vaccine,598827,499648,23179967.58,38.71,0.00
130,Frequency,Commercial,Generic,5,53885027210,OneTouch Verio,538063,283762,20181902.19,37.51,1.09
131,Frequency,Commercial,Generic,6,00406012301,HYDROcodone-Acetaminophen,499535,300587,4879447.99,9.77,6.80
132,Frequency,Commercial,Generic,7,65162035109,Sildenafil Citrate,461209,143938,4312248.54,9.35,4.72
133,Frequency,Commercial,Generic,8,68180098003,Lisinopril,408866,120161,3248935.22,7.95,3.59
134,Frequency,Commercial,Generic,9,80777027310,Moderna COVID-19 Vaccine,387472,261163,12717481.93,32.82,0.00
135,Frequency,Commercial,Generic,10,60505082901,Fluticasone Propionate,386557,196445,5322199.92,13.77,6.28
136,Frequency,Commercial,Generic,11,51224000750,metFORMIN HCl ER,375832,142813,3539551.86,9.42,2.78
137,Frequency,Commercial,Generic,12,68180098103,Lisinopril,355345,99499,2852830.76,8.03,3.45
138,Frequency,Commercial,Generic,13,60505257909,Atorvastatin Calcium,353797,82331,3301895.19,9.33,0.00
139,Frequency,Commercial,Generic,14,70377002813,Atorvastatin Calcium,351417,134345,4145132.38,11.80,3.33
140,Frequency,Commercial,Generic,15,00254100752,Albuterol Sulfate HFA,350318,259858,6864403.44,19.59,10.00
141,Frequency,Commercial,Generic,16,62175061743,Pantoprazole Sodium,341096,114969,3728664.45,10.93,5.00
142,Frequency,Commercial,Generic,17,70377002913,Atorvastatin Calcium,322965,122364,3814227.54,11.81,3.33
143,Frequency,Commercial,Generic,18,29300012810,hydroCHLOROthiazide,320897,120047,2688530.59,8.38,3.45
144,Frequency,Commercial,Generic,19,60505257809,Atorvastatin Calcium,295235,67395,2033977.07,6.89,0.00
145,Frequency,Commercial,Generic,20,00781729685,Albuterol Sulfate HFA,293230,234584,5722882.22,19.52,10.00
146,Frequency,Commercial,Generic,21,49281042150,Fluzone Quadrivalent,292587,289773,9017716.68,30.82,0.00
147,Frequency,Commercial,Generic,22,00406012501,HYDROcodone-Acetaminophen,280659,64278,4934193.27,17.58,7.09
148,Frequency,Commercial,Generic,23,70010006501,metFORMIN HCl,269538,97587,3061609.43,11.36,3.89
149,Frequency,Commercial,Generic,24,29300039710,amLODIPine Besylate,267379,119925,3152966.61,11.79,3.89
150,Frequency,Commercial,Generic,25,60505258009,Atorvastatin Calcium,255697,59603,2702871.58,10.57,3.55
151,Medians,Commercial,Brand,1,00002144509,Taltz,285,191,4202251.51,14744.74,250.00
152,Medians,Commercial,Brand,2,00002144527,Taltz,525,260,5573620.56,10616.42,250.00
153,Medians,Commercial,Brand,3,50242007601,Nutropin AQ NuSpin 20,3046,335,21671277.56,7114.67,250.00
154,Medians,Commercial,Brand,4,64406000602,Tecfidera,1164,254,9578831.25,8229.24,250.00
155,Medians,Commercial,Brand,5,64406002003,Vumerity,2036,315,15392052.06,7559.95,250.00
156,Medians,Commercial,Brand,6,50242007401,Nutropin AQ NuSpin 10,5803,625,24656984.66,4249.01,248.38
157,Medians,Commercial,Brand,7,00002772411,Taltz,811,118,5331313.06,6573.75,220.62
158,Medians,Commercial,Brand,8,00299595030,Tri-Luma,165,135,35799.58,216.97,216.86
159,Medians,Commercial,Brand,9,60842002201,Auvi-Q,450,193,2755677.74,6123.73,210.00
160,Medians,Commercial,Brand,10,00074262528,Mavyret,428,185,5335761.75,12466.73,200.00
161,Medians,Commercial,Brand,11,60842002101,Auvi-Q,1736,745,9925963.15,5717.72,200.00
162,Medians,Commercial,Brand,12,70539000102,Tymlos,3401,600,7016793.66,2063.16,192.93
163,Medians,Commercial,Brand,13,68546032512,Copaxone,4906,528,27885558.58,5683.97,155.57
164,Medians,Commercial,Brand,14,00002814801,Humatrope,1057,125,5594120.33,5292.45,153.76
165,Medians,Commercial,Brand,15,00002144511,Taltz,9118,1309,56424313.75,6188.23,150.00
166,Medians,Commercial,Brand,16,00024592201,Kevzara,863,140,2935025.48,3400.96,150.00
167,Medians,Commercial,Brand,17,00069050130,Xeljanz XR,11922,1676,57500696.31,4823.07,150.00
168,Medians,Commercial,Brand,18,00074012403,Humira Pen-CD/UC/HS Starter,882,653,14724834.05,16694.82,150.00
169,Medians,Commercial,Brand,19,00074055402,Humira Pen,69844,9429,447012138.90,6400.15,150.00
170,Medians,Commercial,Brand,20,00074153903,Humira Pen-Psor/Uveit Starter,349,272,3815627.47,10933.03,150.00
171,Medians,Commercial,Brand,21,00078063968,Cosentyx Sensoready Pen,3605,674,24212491.53,6716.36,150.00
172,Medians,Commercial,Brand,22,50242007501,Nutropin AQ NuSpin 5,1377,152,2783688.32,2021.56,150.00
173,Medians,Commercial,Brand,23,59148008728,Jynarque,1432,187,22434812.64,15666.77,150.00
174,Medians,Commercial,Brand,24,61958220101,Epclusa,3398,1264,45172865.99,13293.96,150.00
175,Medians,Commercial,Brand,25,64011030103,Makena,542,164,1596689.70,2945.92,150.00
176,Medians,Commercial,Brand or Generic,1,00002144509,Taltz,285,191,4202251.51,14744.74,250.00
177,Medians,Commercial,Brand or Generic,2,00002144527,Taltz,525,260,5573620.56,10616.42,250.00
178,Medians,Commercial,Brand or Generic,3,50242007601,Nutropin AQ NuSpin 20,3046,335,21671277.56,7114.67,250.00
179,Medians,Commercial,Brand or Generic,4,64406000602,Tecfidera,1164,254,9578831.25,8229.24,250.00
180,Medians,Commercial,Brand or Generic,5,64406002003,Vumerity,2036,315,15392052.06,7559.95,250.00
181,Medians,Commercial,Brand or Generic,6,50242007401,Nutropin AQ NuSpin 10,5803,625,24656984.66,4249.01,248.38
182,Medians,Commercial,Brand or Generic,7,00002772411,Taltz,811,118,5331313.06,6573.75,220.62
183,Medians,Commercial,Brand or Generic,8,00299595030,Tri-Luma,165,135,35799.58,216.97,216.86
184,Medians,Commercial,Brand or Generic,9,60842002201,Auvi-Q,450,193,2755677.74,6123.73,210.00
185,Medians,Commercial,Brand or Generic,10,00074262528,Mavyret,428,185,5335761.75,12466.73,200.00
186,Medians,Commercial,Brand or Generic,11,60842002101,Auvi-Q,1736,745,9925963.15,5717.72,200.00
187,Medians,Commercial,Brand or Generic,12,70539000102,Tymlos,3401,600,7016793.66,2063.16,192.93
188,Medians,Commercial,Brand or Generic,13,00093333406,Alyq,478,142,1560144.02,3263.90,190.31
189,Medians,Commercial,Brand or Generic,14,68546032512,Copaxone,4906,528,27885558.58,5683.97,155.57
190,Medians,Commercial,Brand or Generic,15,00002814801,Humatrope,1057,125,5594120.33,5292.45,153.76
191,Medians,Commercial,Brand or Generic,16,00002144511,Taltz,9118,1309,56424313.75,6188.23,150.00
192,Medians,Commercial,Brand or Generic,17,00024592201,Kevzara,863,140,2935025.48,3400.96,150.00
193,Medians,Commercial,Brand or Generic,18,00069050130,Xeljanz XR,11922,1676,57500696.31,4823.07,150.00
194,Medians,Commercial,Brand or Generic,19,00074012403,Humira Pen-CD/UC/HS Starter,882,653,14724834.05,16694.82,150.00
195,Medians,Commercial,Brand or Generic,20,00074055402,Humira Pen,69844,9429,447012138.90,6400.15,150.00
196,Medians,Commercial,Brand or Generic,21,00074153903,Humira Pen-Psor/Uveit Starter,349,272,3815627.47,10933.03,150.00
197,Medians,Commercial,Brand or Generic,22,00078063968,Cosentyx Sensoready Pen,3605,674,24212491.53,6716.36,150.00
198,Medians,Commercial,Brand or Generic,23,50242007501,Nutropin AQ NuSpin 5,1377,152,2783688.32,2021.56,150.00
199,Medians,Commercial,Brand or Generic,24,59148008728,Jynarque,1432,187,22434812.64,15666.77,150.00
200,Medians,Commercial,Brand or Generic,25,61958220101,Epclusa,3398,1264,45172865.99,13293.96,150.00
201,Medians,Commercial,Generic,1,00093333406,Alyq,478,142,1560144.02,3263.90,190.31
202,Medians,Commercial,Generic,2,00074204202,Skyrizi (150 MG Dose),2675,1011,45552639.89,17029.02,116.67
203,Medians,Commercial,Generic,3,00065853302,Ciprodex,489,471,121175.56,247.80,100.00
204,Medians,Commercial,Generic,4,24979014136,Hydroquinone,262,239,23732.72,90.58,93.37
205,Medians,Commercial,Generic,5,69367017401,Hydroquinone,705,613,58549.37,83.05,93.37
206,Medians,Commercial,Generic,6,42192015101,Hydroquinone,379,288,28787.60,75.96,85.66
207,Medians,Commercial,Generic,7,57844013001,Adderall,644,132,271956.77,422.29,80.00
208,Medians,Commercial,Generic,8,65628007005,First-Omeprazole,242,102,22425.77,92.67,74.25
209,Medians,Commercial,Generic,9,57844012001,Adderall,1299,302,681305.05,524.48,72.75
210,Medians,Commercial,Generic,10,47918090218,Afrezza,700,129,1453766.33,2076.81,61.67
211,Medians,Commercial,Generic,11,57844011001,Adderall,1027,257,530709.19,516.76,60.00
212,Medians,Commercial,Generic,12,72626270101,Sofosbuvir-Velpatasvir,361,174,2772723.37,7680.67,60.00
213,Medians,Commercial,Generic,13,65628005001,First-Mouthwash BLM,174,146,12919.58,74.25,59.31
214,Medians,Commercial,Generic,14,64011060128,Intrarosa,1041,482,266091.99,255.61,54.64
215,Medians,Commercial,Generic,15,65628007003,First-Omeprazole,566,236,49787.50,87.96,51.80
216,Medians,Commercial,Generic,16,65862086360,Dalfampridine ER,1476,235,1560795.52,1057.45,51.63
217,Medians,Commercial,Generic,17,00065065205,TobraDex ST,274,229,61872.06,225.81,50.00
218,Medians,Commercial,Generic,18,00178074001,Uribel,435,236,101632.54,233.64,50.00
219,Medians,Commercial,Generic,19,00525097160,Zelnorm,438,114,196982.75,449.73,50.00
220,Medians,Commercial,Generic,20,00642009330,Vitafol Ultra,684,146,91313.55,133.50,50.00
221,Medians,Commercial,Generic,21,10782019830,VitaPearl,3651,703,435497.87,119.28,50.00
222,Medians,Commercial,Generic,22,38779004303,Progesterone Micronized,267,113,19958.78,74.75,50.00
223,Medians,Commercial,Generic,23,47918087490,Afrezza,586,139,353930.32,603.98,50.00
224,Medians,Commercial,Generic,24,47918088018,Afrezza,713,166,972345.95,1363.74,50.00
225,Medians,Commercial,Generic,25,50265019830,Prena1 Pearl,2772,611,255670.53,92.23,50.00
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,,,,,,,,,,,
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,,,,,,,,,,,
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
301,,,,,,,,,,,
302,,,,,,,,,,,
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,,,,,,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
313,,,,,,,,,,,
314,,,,,,,,,,,
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
326,,,,,,,,,,,
327,,,,,,,,,,,
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,,,,,,,,,,,
332,,,,,,,,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,,,,,,,,,,,
339,,,,,,,,,,,
340,,,,,,,,,,,
341,,,,,,,,,,,
342,,,,,,,,,,,
343,,,,,,,,,,,
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,,,,,,,,,,,
349,,,,,,,,,,,
350,,,,,,,,,,,
351,,,,,,,,,,,
352,,,,,,,,,,,
353,,,,,,,,,,,
354,,,,,,,,,,,
355,,,,,,,,,,,
356,,,,,,,,,,,
357,,,,,,,,,,,
358,,,,,,,,,,,
359,,,,,,,,,,,
360,,,,,,,,,,,
361,,,,,,,,,,,
362,,,,,,,,,,,
363,,,,,,,,,,,
364,,,,,,,,,,,
365,,,,,,,,,,,
366,,,,,,,,,,,
367,,,,,,,,,,,
368,,,,,,,,,,,
369,,,,,,,,,,,
370,,,,,,,,,,,
371,,,,,,,,,,,
372,,,,,,,,,,,
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,,,,,,,,,,,
377,,,,,,,,,,,
378,,,,,,,,,,,
379,,,,,,,,,,,
380,,,,,,,,,,,
381,,,,,,,,,,,
382,,,,,,,,,,,
383,,,,,,,,,,,
384,,,,,,,,,,,
385,,,,,,,,,,,
386,,,,,,,,,,,
387,,,,,,,,,,,
388,,,,,,,,,,,
389,,,,,,,,,,,
390,,,,,,,,,,,
391,,,,,,,,,,,
392,,,,,,,,,,,
393,,,,,,,,,,,
394,,,,,,,,,,,
395,,,,,,,,,,,
396,,,,,,,,,,,
397,,,,,,,,,,,
398,,,,,,,,,,,
399,,,,,,,,,,,
400,,,,,,,,,,,
401,,,,,,,,,,,
402,,,,,,,,,,,
403,,,,,,,,,,,
404,,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,,,,,,,,,,,
412,,,,,,,,,,,
413,,,,,,,,,,,
414,,,,,,,,,,,
415,,,,,,,,,,,
416,,,,,,,,,,,
417,,,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,,,,,,,,,,,
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,,,,,,,,,,,
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,,,,,,,,,
439,,,,,,,,,,,
440,,,,,,,,,,,
